"Hour";"Subscriber Country Name";"Subscriber Operator Name";"Origin Operator Name";"SUM Transactions";"# Successes";"Prefix"
"2016/12/13 07:00:00";"Guatemala (Republic of)";"TELEFONICA GUATEMALA (GT)";"MOVISTAR (PE)";"28";"3";"70403"
"2016/12/13 07:00:00";"Singapore (Republic of)";"SINGTEL SINGTEL-MOBILELINK (SG)";"MOVISTAR (PE)";"1";"1";"52501"
"2016/12/13 07:00:00";"United States of America";"AT&T MOBILITY (US)";"MOVISTAR (PE)";"93";"62";"310410"
"2016/12/13 07:00:00";"South Africa (Republic of)";"VODACOM (ZA)";"MOVISTAR (PE)";"1";"1";"65501"
"2016/12/13 07:00:00";"China (People's Republic of)";"CHINA MOBILE (CN)";"MOVISTAR (PE)";"1";"1";"46007"
"2016/12/13 07:00:00";"Germany (Federal Republic of)";"O2 (DE)";"MOVISTAR (PE)";"104";"32";"26207"
"2016/12/13 07:00:00";"Germany (Federal Republic of)";"E-PLUS (DE)";"MOVISTAR (PE)";"22";"12";"26203"
"2016/12/13 07:00:00";"Switzerland (Confederation of)";"SUNRISE (CH)";"MOVISTAR (PE)";"3";"2";"22802"
"2016/12/13 07:00:00";"United Kingdom of Great Britain and Northern Ireland";"O2 (GB)";"MOVISTAR (PE)";"65";"33";"23410"
"2016/12/13 06:00:00";"Spain";"ORANGE (ES)";"MOVISTAR (PE)";"18";"13";"21403"
"2016/12/13 06:00:00";"Spain";"MOVISTAR (ES)";"MOVISTAR (PE)";"8";"3";"21405"
"2016/12/13 06:00:00";"Brazil";"VIVO (BR)";"MOVISTAR (PE)";"68";"44";"72411"
"2016/12/13 06:00:00";"Brazil";"NEXTEL (BR)";"MOVISTAR (PE)";"5";"1";"72439"
"2016/12/13 06:00:00";"Canada";"TELUS (CA)";"MOVISTAR (PE)";"32";"14";"302220"
"2016/12/13 06:00:00";"Canada";"ROGERS WIRELESS (CA)";"MOVISTAR (PE)";"28";"13";"302370"
"2016/12/13 06:00:00";"Canada";"ROGERS WIRELESS (CA)";"MOVISTAR (PE)";"23";"12";"302720"
"2016/12/13 06:00:00";"Mexico";"TELEFONICA MOVILES (MX)";"MOVISTAR (PE)";"98";"29";"334030"
"2016/12/13 06:00:00";"Norway";"TELENOR (NO)";"MOVISTAR (PE)";"2";"1";"24201"
"2016/12/13 06:00:00";"Costa Rica";"MOVISTAR (CR)";"MOVISTAR (PE)";"3";"3";"71204"
"2016/12/13 06:00:00";"New Zealand";"VODAFONE (NZ)";"MOVISTAR (PE)";"1";"1";"53001"
"2016/12/13 06:00:00";"Argentine Republic";"CLARO (AR)";"MOVISTAR (PE)";"1";"1";"722310"
"2016/12/13 06:00:00";"Argentine Republic";"MOVISTAR (AR)";"MOVISTAR (PE)";"463";"184";"72207"
"2016/12/13 06:00:00";"India (Republic of)";"AIRCEL (WEST BENGAL) (IN)";"MOVISTAR (PE)";"1";"1";"40492"
"2016/12/13 06:00:00";"Korea (Republic of)";"LG UPLUS (KR)";"MOVISTAR (PE)";"6";"4";"45006"
"2016/12/13 06:00:00";"Suriname (Republic of)";"TELESUR (SR)";"MOVISTAR (PE)";"1";"1";"74602"
"2016/12/13 06:00:00";"United States of America";"AT&T MOBILITY (US)";"MOVISTAR (PE)";"4";"3";"310380"
"2016/12/13 06:00:00";"United States of America";"AT&T MOBILITY (US)";"MOVISTAR (PE)";"236";"132";"310410"
"2016/12/13 06:00:00";"China (People's Republic of)";"CHINA MOBILE (CN)";"MOVISTAR (PE)";"22";"7";"46002"
"2016/12/13 06:00:00";"Philippines (Republic of the)";"SMART (PH)";"MOVISTAR (PE)";"16";"8";"51503"
"2016/12/13 06:00:00";"United Kingdom of Great Britain and Northern Ireland";"H3G (GB)";"MOVISTAR (PE)";"7";"3";"23420"
"2016/12/13 06:00:00";"Australia (including Christmas Island and Cocos-Keeling Islands)";"TELSTRA TELECOM (AU)";"MOVISTAR (PE)";"26";"11";"50501"
"2016/12/13 07:00:00";"Italy";"H3G (IT)";"MOVISTAR (PE)";"4";"4";"22299"
"2016/12/13 07:00:00";"Italy";"TIM (IT)";"MOVISTAR (PE)";"13";"11";"22201"
"2016/12/13 07:00:00";"Brazil";"VIVO BRATC (BR)";"MOVISTAR (PE)";"7";"5";"72423"
"2016/12/13 07:00:00";"Canada";"BELL MOBILITY (CA)";"MOVISTAR (PE)";"11";"11";"302610"
"2016/12/13 07:00:00";"Canada";"ROGERS WIRELESS (CA)";"MOVISTAR (PE)";"25";"13";"302370"
"2016/12/13 07:00:00";"France";"ORANGE F (FR)";"MOVISTAR (PE)";"135";"69";"20801"
"2016/12/13 07:00:00";"Mexico";"IUSACELL (MX)";"MOVISTAR (PE)";"6";"2";"334050"
"2016/12/13 07:00:00";"Finland";"DNA FINLAND (FI)";"MOVISTAR (PE)";"1";"1";"24412"
"2016/12/13 07:00:00";"Colombia";"OLA - TIGO (CO)";"MOVISTAR (PE)";"86";"33";"732111"
"2016/12/13 07:00:00";"New Zealand";"TELECOM (NZ)";"MOVISTAR (PE)";"1";"1";"53005"
"2016/12/13 07:00:00";"Russian Federation";"VIMPELCOM (RU)";"MOVISTAR (PE)";"7";"3";"25099"
"2016/12/13 07:00:00";"Panama (Republic of)";"TELEFONICA PANAMA (PA)";"MOVISTAR (PE)";"25";"14";"714020"
"2016/12/13 07:00:00";"United States of America";"VERIZON WIRELESS (US)";"MOVISTAR (PE)";"54";"41";"311480"
"2016/12/13 07:00:00";"Netherlands (Kingdom of the)";"KPN (NL)";"MOVISTAR (PE)";"1";"1";"20408"
"2016/12/13 07:00:00";"Netherlands (Kingdom of the)";"TELFORT (NL)";"MOVISTAR (PE)";"6";"2";"20412"
"2016/12/13 07:00:00";"Switzerland (Confederation of)";"SWISSCOM (CH)";"MOVISTAR (PE)";"11";"7";"22801"
"2016/12/13 07:00:00";"United Kingdom of Great Britain and Northern Ireland";"T-MOBILE UK (GB)";"MOVISTAR (PE)";"6";"3";"23430"
"2016/12/13 07:00:00";"Australia (including Christmas Island and Cocos-Keeling Islands)";"TELSTRA TELECOM (AU)";"MOVISTAR (PE)";"32";"15";"50501"
"2016/12/13 06:00:00";"Chile";"ENTEL PCS (CL)";"MOVISTAR (PE)";"243";"111";"73001"
"2016/12/13 06:00:00";"Italy";"TIM (IT)";"MOVISTAR (PE)";"17";"11";"22201"
"2016/12/13 06:00:00";"Italy";"WIND (IT)";"MOVISTAR (PE)";"27";"15";"22288"
"2016/12/13 06:00:00";"Spain";"VODAFONE (ES)";"MOVISTAR (PE)";"15";"3";"21406"
"2016/12/13 06:00:00";"Brazil";"VIVO (BR)";"MOVISTAR (PE)";"78";"37";"72406"
"2016/12/13 06:00:00";"Brazil";"VIVO (BR)";"MOVISTAR (PE)";"123";"53";"72410"
"2016/12/13 06:00:00";"Brazil";"TIM (SAO PAULO) (BR)";"MOVISTAR (PE)";"1";"1";"72403"
"2016/12/13 06:00:00";"Brazil";"TIM (CENTRO SUL) (BR)";"MOVISTAR (PE)";"1";"1";"72404"
"2016/12/13 06:00:00";"Canada";"BELL MOBILITY (CA)";"MOVISTAR (PE)";"4";"4";"302610"
"2016/12/13 06:00:00";"France";"BOUYGUES TELECOM (FR)";"MOVISTAR (PE)";"14";"10";"20820"
"2016/12/13 06:00:00";"Mexico";"IUSACELL (MX)";"MOVISTAR (PE)";"5";"2";"334050"
"2016/12/13 06:00:00";"Belgium";"BASE (BE)";"MOVISTAR (PE)";"9";"1";"20620"
"2016/12/13 06:00:00";"Belgium";"PROXIMUS (BE)";"MOVISTAR (PE)";"20";"13";"20601"
"2016/12/13 06:00:00";"Ecuador";"MOVISTAR (EC)";"MOVISTAR (PE)";"369";"143";"74000"
"2016/12/13 06:00:00";"Romania";"VODAFONE (RO)";"MOVISTAR (PE)";"3";"2";"22601"
"2016/12/13 06:00:00";"Argentine Republic";"PERSONAL (AR)";"MOVISTAR (PE)";"688";"212";"72234"
"2016/12/13 06:00:00";"Russian Federation";"MEGAFON (RU)";"MOVISTAR (PE)";"1";"1";"25002"
