"Hour";"Subscriber Country Name";"Subscriber Operator Name";"Origin Operator Name";"SUM Transactions";"# Successes";"Prefix"
"2016/12/12 09:00:00";"Germany (Federal Republic of)";"E-PLUS (DE)";"MOVISTAR (PE)";"31";"13";"26203"
"2016/12/12 09:00:00";"Uruguay (Eastern Republic of)";"MOVISTAR (UY)";"MOVISTAR (PE)";"28";"8";"74807"
"2016/12/12 09:00:00";"Switzerland (Confederation of)";"SWISSCOM (CH)";"MOVISTAR (PE)";"10";"7";"22801"
"2016/12/12 09:00:00";"United Kingdom of Great Britain and Northern Ireland";"VODAFONE (GB)";"MOVISTAR (PE)";"3";"3";"23415"
"2016/12/12 10:00:00";"Chile";"ENTEL PCS (CL)";"MOVISTAR (PE)";"258";"133";"73001"
"2016/12/12 10:00:00";"Italy";"TIM (IT)";"MOVISTAR (PE)";"7";"6";"22201"
"2016/12/12 10:00:00";"Italy";"WIND (IT)";"MOVISTAR (PE)";"52";"31";"22288"
"2016/12/12 10:00:00";"Japan";"DOCOMO (JP)";"MOVISTAR (PE)";"12";"9";"44010"
"2016/12/12 10:00:00";"Spain";"ORANGE (ES)";"MOVISTAR (PE)";"47";"23";"21403"
"2016/12/12 10:00:00";"Brazil";"VIVO (BR)";"MOVISTAR (PE)";"155";"67";"72406"
"2016/12/12 10:00:00";"Brazil";"VIVO (BR)";"MOVISTAR (PE)";"115";"57";"72410"
"2016/12/12 10:00:00";"Brazil";"VIVO BRATC (BR)";"MOVISTAR (PE)";"15";"8";"72423"
"2016/12/12 10:00:00";"Canada";"BELL MOBILITY (CA)";"MOVISTAR (PE)";"1";"1";"302610"
"2016/12/12 10:00:00";"Mexico";"TELEFONICA MOVILES (MX)";"MOVISTAR (PE)";"73";"15";"334030"
"2016/12/12 10:00:00";"Sweden";"TELENOR (SE)";"MOVISTAR (PE)";"130";"111";"24008"
"2016/12/12 10:00:00";"Austria";"T-MOBILE (AT)";"MOVISTAR (PE)";"1";"1";"23207"
"2016/12/12 10:00:00";"Belgium";"BASE (BE)";"MOVISTAR (PE)";"11";"2";"20620"
"2016/12/12 10:00:00";"Denmark";"TDC MOBIL (DK)";"MOVISTAR (PE)";"1";"1";"23801"
"2016/12/12 10:00:00";"Ecuador";"CONECEL (EC)";"MOVISTAR (PE)";"3";"3";"74001"
"2016/12/12 10:00:00";"Ireland";"O2 (IE)";"MOVISTAR (PE)";"3";"2";"27202"
"2016/12/12 10:00:00";"Ukraine";"ASTELIT (UA)";"MOVISTAR (PE)";"8";"2";"25506"
"2016/12/12 10:00:00";"Colombia";"MOVISTAR (CO)";"MOVISTAR (PE)";"15";"2";"732123"
"2016/12/12 10:00:00";"Colombia";"OLA - TIGO (CO)";"MOVISTAR (PE)";"60";"25";"732111"
"2016/12/12 10:00:00";"Nicaragua";"TELEFONICA DE NICARAGUA (NI)";"MOVISTAR (PE)";"20";"5";"710300"
"2016/12/12 10:00:00";"Costa Rica";"MOVISTAR (CR)";"MOVISTAR (PE)";"2";"1";"71204"
"2016/12/12 10:00:00";"Slovak Republic";"MOVISTAR SLOVAKIA (SK)";"MOVISTAR (PE)";"1";"1";"23106"
