"Hour";"Subscriber Country Name";"Subscriber Operator Name";"Origin Operator Name";"SUM Transactions";"# Successes";"Prefix"
"2017/01/02 09:00:00";"France";"ORANGE F (FR)";"MOVISTAR (PE)";"222";"100";"20801"
"2017/01/02 10:00:00";"Poland (Republic of)";"T-MOBILE (PL)";"MOVISTAR (PE)";"3";"2";"26002"
"2017/01/02 10:00:00";"Canada";"TELUS (CA)";"MOVISTAR (PE)";"21";"8";"302220"
"2017/01/02 10:00:00";"India (Republic of)";"IDEA (KERALA AGRA) (IN)";"MOVISTAR (PE)";"13";"1";"40419"
"2017/01/02 09:00:00";"Nicaragua";"TELEFONICA DE NICARAGUA (NI)";"MOVISTAR (PE)";"8";"2";"710300"
"2017/01/02 10:00:00";"Austria";"H3G AUSTRIA (AT)";"MOVISTAR (PE)";"17";"2";"23210"
"2017/01/02 10:00:00";"France";"ORANGE F (FR)";"MOVISTAR (PE)";"279";"118";"20801"
"2017/01/02 09:00:00";"Hongkong, China";"CSL LTD (HK)";"MOVISTAR (PE)";"4";"1";"45400"
"2017/01/02 09:00:00";"Spain";"MOVISTAR (ES)";"MOVISTAR (PE)";"21246";"7326";"21407"
"2017/01/02 10:00:00";"United Kingdom of Great Britain and Northern Ireland";"T-MOBILE UK (GB)";"MOVISTAR (PE)";"1";"1";"23430"
"2017/01/02 10:00:00";"Argentine Republic";"CLARO (AR)";"MOVISTAR (PE)";"2";"1";"722310"
"2017/01/02 09:00:00";"Mexico";"NEXTEL (MX)";"MOVISTAR (PE)";"8";"2";"33409"
"2017/01/02 09:00:00";"France";"SFR (FR)";"MOVISTAR (PE)";"1";"1";"20809"
"2017/01/02 09:00:00";"India (Republic of)";"BHARTI AIRTEL (Nueva Delhi) (IN)";"MOVISTAR (PE)";"2";"1";"40554"
"2017/01/02 10:00:00";"Brazil";"VIVO (BR)";"MOVISTAR (PE)";"190";"79";"72410"
"2017/01/02 09:00:00";"India (Republic of)";"AIRCEL DIGILINK (Rajasthan) (IN)";"MOVISTAR (PE)";"10";"1";"40498"
"2017/01/02 10:00:00";"Chile";"TELEFONICA (CL)";"MOVISTAR (PE)";"1599";"541";"73002"
"2017/01/02 09:00:00";"India (Republic of)";"VEL VODAFONE (MUMBAI) (IN)";"MOVISTAR (PE)";"6";"1";"40420"
"2017/01/02 09:00:00";"Switzerland (Confederation of)";"ORANGE (CH)";"MOVISTAR (PE)";"44";"8";"22803"
"2017/01/02 10:00:00";"India (Republic of)";"VEMSL VODAFONE  (DELHI) (IN)";"MOVISTAR (PE)";"1";"1";"40411"
"2017/01/02 09:00:00";"France";"SFR (FR)";"MOVISTAR (PE)";"8";"6";"20810"
"2017/01/02 10:00:00";"Brazil";"TIM (SAO PAULO) (BR)";"MOVISTAR (PE)";"4";"4";"72403"
"2017/01/02 10:00:00";"Indonesia (Republic of)";"TELKOMSEL (ID)";"MOVISTAR (PE)";"7";"2";"51010"
"2017/01/02 09:00:00";"El Salvador (Republic of)";"MOVISTAR (SV)";"MOVISTAR (PE)";"10";"3";"70604"
"2017/01/02 10:00:00";"New Zealand";"TELECOM (NZ)";"MOVISTAR (PE)";"2";"1";"53005"
"2017/01/02 10:00:00";"Ecuador";"CONECEL (EC)";"MOVISTAR (PE)";"1";"1";"74001"
"2017/01/02 10:00:00";"Netherlands (Kingdom of the)";"T-MOBILE NL (NL)";"MOVISTAR (PE)";"33";"12";"20416"
"2017/01/02 10:00:00";"India (Republic of)";"VEEL VODAFONE (CALCUTA) (IN)";"MOVISTAR (PE)";"7";"1";"40430"
"2017/01/02 10:00:00";"Brazil";"TIM (RIO NORTE) (BR)";"MOVISTAR (PE)";"10";"5";"72402"
"2017/01/02 09:00:00";"Korea (Republic of)";"LG UPLUS (KR)";"MOVISTAR (PE)";"44";"5";"45006"
"2017/01/02 09:00:00";"China (People's Republic of)";"CHINA MOBILE (CN)";"MOVISTAR (PE)";"3";"1";"46007"
"2017/01/02 10:00:00";"Portugal";"OPTIMUS (PT)";"MOVISTAR (PE)";"3";"1";"26803"
"2017/01/02 09:00:00";"United States of America";"SPRINT PCS (US)";"MOVISTAR (PE)";"244";"94";"310120"
"2017/01/02 09:00:00";"Argentine Republic";"CLARO (AR)";"MOVISTAR (PE)";"4";"1";"722310"
"2017/01/02 10:00:00";"Switzerland (Confederation of)";"ORANGE (CH)";"MOVISTAR (PE)";"42";"13";"22803"
"2017/01/02 10:00:00";"Switzerland (Confederation of)";"SUNRISE (CH)";"MOVISTAR (PE)";"4";"2";"22802"
"2017/01/02 10:00:00";"Sweden";"COMVIQ - TELE2 (SE)";"MOVISTAR (PE)";"25";"9";"24007"
"2017/01/02 10:00:00";"Costa Rica";"MOVISTAR (CR)";"MOVISTAR (PE)";"6";"2";"71204"
"2017/01/02 10:00:00";"India (Republic of)";"AIRCEL DIGILINK (Rajasthan) (IN)";"MOVISTAR (PE)";"19";"1";"40498"
"2017/01/02 09:00:00";"Canada";"VIDEOTRON (CA)";"MOVISTAR (PE)";"2";"1";"302500"
"2017/01/02 10:00:00";"Belgium";"PROXIMUS (BE)";"MOVISTAR (PE)";"9";"7";"20601"
"2017/01/02 09:00:00";"Canada";"ROGERS WIRELESS (CA)";"MOVISTAR (PE)";"8";"7";"302370"
"2017/01/02 09:00:00";"Costa Rica";"MOVISTAR (CR)";"MOVISTAR (PE)";"6";"1";"71204"
"2017/01/02 10:00:00";"Aruba";"SETAR GSM (AW)";"MOVISTAR (PE)";"1";"1";"36301"
"2017/01/02 10:00:00";"Israel (State of)";"ORANGE (IL)";"MOVISTAR (PE)";"12";"4";"42501"
"2017/01/02 10:00:00";"United Kingdom of Great Britain and Northern Ireland";"O2 (GB)";"MOVISTAR (PE)";"110";"42";"23410"
"2017/01/02 09:00:00";"Israel (State of)";"ORANGE (IL)";"MOVISTAR (PE)";"6";"3";"42501"
"2017/01/02 09:00:00";"Netherlands (Kingdom of the)";"TELFORT (NL)";"MOVISTAR (PE)";"2";"2";"20412"
"2017/01/02 09:00:00";"Brazil";"VIVO (BR)";"MOVISTAR (PE)";"113";"49";"72406"
"2017/01/02 09:00:00";"Ecuador";"MOVISTAR (EC)";"MOVISTAR (PE)";"334";"145";"74000"
"2017/01/02 09:00:00";"Brazil";"TIM (SAO PAULO) (BR)";"MOVISTAR (PE)";"4";"3";"72403"
"2017/01/02 10:00:00";"Turkey";"TURKCELL (TR)";"MOVISTAR (PE)";"1";"1";"28601"
"2017/01/02 10:00:00";"Thailand";"AWN (TH)";"MOVISTAR (PE)";"1";"1";"52003"
"2017/01/02 09:00:00";"Mexico";"TELEFONICA MOVILES (MX)";"MOVISTAR (PE)";"56";"23";"334030"
"2017/01/02 10:00:00";"Guatemala (Republic of)";"TELEFONICA GUATEMALA (GT)";"MOVISTAR (PE)";"4";"2";"70403"
"2017/01/02 10:00:00";"Poland (Republic of)";"P4 (PL)";"MOVISTAR (PE)";"1";"1";"26006"
"2017/01/02 10:00:00";"Belgium";"BASE (BE)";"MOVISTAR (PE)";"8";"2";"20620"
"2017/01/02 10:00:00";"Netherlands (Kingdom of the)";"TELFORT (NL)";"MOVISTAR (PE)";"3";"2";"20412"
"2017/01/02 10:00:00";"United States of America";"AT&T MOBILITY (US)";"MOVISTAR (PE)";"4";"1";"310170"
"2017/01/02 10:00:00";"India (Republic of)";"TATA DOCOMO (HIMCHAD PRADESH) (IN)";"MOVISTAR (PE)";"38";"1";"40449"
"2017/01/02 09:00:00";"New Zealand";"TELECOM (NZ)";"MOVISTAR (PE)";"2";"1";"53005"
"2017/01/02 10:00:00";"Hongkong, China";"HUTCHISON (HK)";"MOVISTAR (PE)";"1";"1";"45404"
"2017/01/02 09:00:00";"Colombia";"MOVISTAR (CO)";"MOVISTAR (PE)";"14";"8";"732123"
"2017/01/02 09:00:00";"Sweden";"COMVIQ - TELE2 (SE)";"MOVISTAR (PE)";"26";"9";"24007"
"2017/01/02 10:00:00";"Panama (Republic of)";"TELEFONICA PANAMA (PA)";"MOVISTAR (PE)";"16";"6";"714020"
"2017/01/02 09:00:00";"Norway";"TELENOR (NO)";"MOVISTAR (PE)";"3";"3";"24201"
"2017/01/02 10:00:00";"India (Republic of)";"AIRCEL (WEST BENGAL) (IN)";"MOVISTAR (PE)";"6";"2";"40492"
"2017/01/02 10:00:00";"India (Republic of)";"TATA DOCOMO (GUJARAT) (IN)";"MOVISTAR (PE)";"29";"2";"405030"
"2017/01/02 09:00:00";"Switzerland (Confederation of)";"SUNRISE (CH)";"MOVISTAR (PE)";"9";"4";"22802"
"2017/01/02 09:00:00";"Aruba";"SETAR GSM (AW)";"MOVISTAR (PE)";"7";"2";"36301"
"2017/01/02 09:00:00";"Austria";"T-MOBILE (AT)";"MOVISTAR (PE)";"1";"1";"23207"
"2017/01/02 10:00:00";"Japan";"DOCOMO (JP)";"MOVISTAR (PE)";"24";"16";"44010"
"2017/01/02 10:00:00";"Spain";"MOVISTAR (ES)";"MOVISTAR (PE)";"4";"3";"21405"
"2017/01/02 10:00:00";"United Kingdom of Great Britain and Northern Ireland";"H3G (GB)";"MOVISTAR (PE)";"9";"5";"23420"
"2017/01/02 10:00:00";"Portugal";"TMN (PT)";"MOVISTAR (PE)";"1";"1";"26806"
"2017/01/02 09:00:00";"Austria";"H3G AUSTRIA (AT)";"MOVISTAR (PE)";"2";"1";"23210"
"2017/01/02 09:00:00";"Italy";"TIM (IT)";"MOVISTAR (PE)";"68";"22";"22201"
"2017/01/02 10:00:00";"Italy";"TIM (IT)";"MOVISTAR (PE)";"61";"19";"22201"
"2017/01/02 10:00:00";"Canada";"BELL MOBILITY (CA)";"MOVISTAR (PE)";"6";"3";"302610"
"2017/01/02 09:00:00";"Italy";"WIND (IT)";"MOVISTAR (PE)";"24";"11";"22288"
