"Hour";"Subscriber Country Name";"Subscriber Operator Name";"Origin Operator Name";"SUM Transactions";"# Successes";"Prefix"
"2016/11/11 09:00:00";"Germany (Federal Republic of)";"O2 (DE)";"MOVISTAR (PE)";"143";"38";"26207"
"2016/11/11 09:00:00";"Germany (Federal Republic of)";"TELEKOM (DE)";"MOVISTAR (PE)";"30";"12";"26201"
"2016/11/11 09:00:00";"Switzerland (Confederation of)";"SUNRISE (CH)";"MOVISTAR (PE)";"8";"5";"22802"
"2016/11/11 09:00:00";"United Kingdom of Great Britain and Northern Ireland";"VODAFONE (GB)";"MOVISTAR (PE)";"34";"17";"23415"
"2016/11/11 10:00:00";"Spain";"MOVISTAR (ES)";"MOVISTAR (PE)";"31847";"11634";"21407"
"2016/11/11 10:00:00";"Canada";"ROGERS WIRELESS (CA)";"MOVISTAR (PE)";"15";"11";"302370"
"2016/11/11 10:00:00";"Mexico";"NEXTEL (MX)";"MOVISTAR (PE)";"4";"2";"33409"
"2016/11/11 10:00:00";"Ecuador";"MOVISTAR (EC)";"MOVISTAR (PE)";"517";"188";"74000"
"2016/11/11 10:00:00";"Thailand";"AWN (TH)";"MOVISTAR (PE)";"3";"1";"52003"
"2016/11/11 10:00:00";"Slovak Republic";"MOVISTAR SLOVAKIA (SK)";"MOVISTAR (PE)";"1";"1";"23106"
"2016/11/11 10:00:00";"Argentine Republic";"PERSONAL (AR)";"MOVISTAR (PE)";"13";"12";"72234"
"2016/11/11 10:00:00";"Russian Federation";"MEGAFON (RU)";"MOVISTAR (PE)";"7";"2";"25002"
"2016/11/11 10:00:00";"Panama (Republic of)";"TELEFONICA PANAMA (PA)";"MOVISTAR (PE)";"12";"5";"714020"
"2016/11/11 10:00:00";"Bolivia (Republic of)";"NUEVATEL (BO)";"MOVISTAR (PE)";"8";"8";"73601"
"2016/11/11 10:00:00";"Singapore (Republic of)";"SINGTEL SINGTEL-MOBILELINK (SG)";"MOVISTAR (PE)";"2";"1";"52501"
"2016/11/11 10:00:00";"United States of America";"VERIZON WIRELESS (US)";"MOVISTAR (PE)";"99";"46";"311480"
"2016/11/11 10:00:00";"Netherlands (Kingdom of the)";"T-MOBILE NL (NL)";"MOVISTAR (PE)";"23";"11";"20416"
"2016/11/11 10:00:00";"United Kingdom of Great Britain and Northern Ireland";"O2 (GB)";"MOVISTAR (PE)";"100";"46";"23410"
"2016/11/11 10:00:00";"Australia (including Christmas Island and Cocos-Keeling Islands)";"OPTUS (AU)";"MOVISTAR (PE)";"2";"2";"50502"
